order_ref,timestamp_ns,side,shares,stock,price_raw,price_dollars
1,34200000001520,B,100,GOOG,1500988,150.0988
2,34200000011448,B,100,AAPL,1499788,149.9788
3,34200000018022,S,100,NVDA,1500470,150.047
4,34200000018171,B,100,AMZN,1501367,150.1367
5,34200000025372,S,100,META,1501973,150.1973
6,34200000027511,S,300,GOOG,1500517,150.0517
7,34200000035939,S,100,AAPL,1499221,149.9221
8,34200000038108,B,200,META,1498380,149.838
9,34200000040024,B,200,MSFT,1498402,149.8402
10,34200000044480,S,500,TSLA,1500361,150.0361
11,34200000049520,S,100,META,1500190,150.019
12,34200000052786,S,500,AMZN,1504385,150.4385
13,34200000060090,B,500,AMD,1500092,150.0092
14,34200000061278,S,200,NVDA,1501422,150.1422
15,34200000064869,B,100,GOOG,1498143,149.8143
16,34200000067612,B,100,AMD,1498199,149.8199
17,34200000077301,B,100,AMZN,1504060,150.406
18,34200000077586,S,100,AAPL,1498125,149.8125
19,34200000079719,S,100,AMZN,1504934,150.4934
20,34200000087651,B,100,MSFT,1499212,149.9212
21,34200000094769,S,500,TSLA,1502530,150.253
22,34200000096818,S,100,AMD,1498413,149.8413
23,34200000098782,S,100,META,1501378,150.1378
24,34200000099003,B,300,TSLA,1502182,150.2182
25,34200000107752,B,1000,AMZN,1503224,150.3224
26,34200000115487,B,500,NVDA,1499512,149.9512
27,34200000122046,S,100,AMD,1498141,149.8141
28,34200000122239,B,1000,GOOG,1497965,149.7965
29,34200000122615,B,100,AMZN,1500344,150.0344
30,34200000131501,S,100,AAPL,1498435,149.8435
31,34200000139955,B,500,TSLA,1504320,150.432
32,34200000140206,B,1000,AMZN,1497910,149.791
33,34200000140550,S,100,TSLA,1506961,150.6961
34,34200000142672,B,100,MSFT,1498727,149.8727
35,34200000144323,B,200,GOOG,1496868,149.6868
36,34200000148669,B,300,GOOG,1495890,149.589
37,34200000150857,S,1000,META,1501885,150.1885
38,34200000151066,B,100,AAPL,1498535,149.8535
39,34200000159245,B,300,AMZN,1499345,149.9345
40,34200000165150,S,100,AMZN,1501672,150.1672
41,34200000169600,B,100,GOOG,1497436,149.7436
42,34200000171432,B,1000,META,1500584,150.0584
43,34200000176723,B,100,GOOG,1495164,149.5164
44,34200000179555,S,500,MSFT,1498420,149.842
45,34200000182981,B,300,GOOG,1497821,149.7821
46,34200000184634,B,300,NVDA,1498434,149.8434
47,34200000188166,B,500,META,1500466,150.0466
48,34200000188643,S,500,TSLA,1507767,150.7767
49,34200000189102,S,200,META,1502078,150.2078
50,34200000197643,B,1000,GOOG,1496310,149.631
51,34200000203207,B,200,META,1500669,150.0669
52,34200000210755,S,300,GOOG,1499417,149.9417
53,34200000211160,S,200,META,1501759,150.1759
54,34200000220539,B,500,NVDA,1498057,149.8057
55,34200000230360,B,100,GOOG,1496741,149.6741
56,34200000233401,B,300,TSLA,1508572,150.8572
57,34200000233841,B,100,AMZN,1498049,149.8049
58,34200000234847,S,200,NVDA,1498858,149.8858
59,34200000239348,S,1000,AMZN,1498784,149.8784
60,34200000245839,S,100,AMD,1499786,149.9786
61,34200000245962,S,200,GOOG,1498882,149.8882
62,34200000250147,S,100,TSLA,1507484,150.7484
63,34200000254732,S,100,NVDA,1497538,149.7538
64,34200000254959,S,1000,MSFT,1498459,149.8459
65,34200000263210,S,300,GOOG,1496788,149.6788
66,34200000271987,S,1000,NVDA,1499065,149.9065
67,34200000277486,S,1000,AMD,1500321,150.0321
68,34200000283724,B,200,AMD,1500049,150.0049
69,34200000290145,S,100,GOOG,1496988,149.6988
70,34200000291465,B,500,AMD,1500980,150.098
71,34200000301412,B,500,NVDA,1493919,149.3919
72,34200000308783,B,500,TSLA,1506504,150.6504
73,34200000318534,S,100,META,1500948,150.0948
74,34200000318853,S,100,AAPL,1498193,149.8193
75,34200000325382,B,200,MSFT,1497595,149.7595
76,34200000334087,B,200,NVDA,1493217,149.3217
77,34200000335746,S,100,AAPL,1497590,149.759
78,34200000340654,S,100,AAPL,1497100,149.71
79,34200000344403,S,200,MSFT,1498266,149.8266
80,34200000344516,S,200,GOOG,1497010,149.701
81,34200000349494,B,100,AMZN,1494875,149.4875
82,34200000351166,S,100,GOOG,1495711,149.5711
83,34200000360197,B,100,META,1497387,149.7387
84,34200000368332,B,1000,GOOG,1494161,149.4161
85,34200000373729,B,1000,MSFT,1496171,149.6171
86,34200000378724,S,200,META,1494320,149.432
87,34200000378932,B,300,AMD,1498562,149.8562
88,34200000384458,S,200,META,1493777,149.3777
89,34200000389395,B,1000,AAPL,1495031,149.5031
90,34200000391919,S,1000,AMD,1500060,150.006
91,34200000401617,B,300,AMZN,1494682,149.4682
92,34200000410051,B,300,META,1494532,149.4532
93,34200000414084,S,100,AMZN,1495905,149.5905
94,34200000423679,B,200,TSLA,1507226,150.7226
95,34200000433430,B,100,AMZN,1497511,149.7511
96,34200000436498,B,200,MSFT,1496626,149.6626
97,34200000438339,B,1000,AMD,1498648,149.8648
98,34200000445904,S,100,AMZN,1499053,149.9053
99,34200000446131,B,200,AMD,1501036,150.1036
100,34200000453363,S,200,GOOG,1496407,149.6407
101,34200000455349,S,200,AMD,1503095,150.3095
102,34200000457679,S,200,GOOG,1495423,149.5423
103,34200000466378,B,1000,MSFT,1496146,149.6146
104,34200000474816,B,200,AMZN,1499648,149.9648
105,34200000484738,S,200,GOOG,1494723,149.4723
106,34200000484922,S,100,TSLA,1505365,150.5365
107,34200000490904,S,100,AMZN,1498634,149.8634
108,34200000492557,S,1000,NVDA,1493250,149.325
109,34200000497972,B,100,NVDA,1491753,149.1753
110,34200000506217,S,1000,AAPL,1494005,149.4005
111,34200000513907,S,100,AMZN,1499464,149.9464
112,34200000523024,B,100,META,1497035,149.7035
113,34200000523253,S,1000,AMZN,1497972,149.7972
114,34200000533142,B,100,META,1495243,149.5243
115,34200000537477,B,1000,AMD,1500767,150.0767
116,34200000546418,S,1000,AMZN,1498873,149.8873
117,34200000554102,S,200,GOOG,1496094,149.6094
118,34200000557624,B,1000,GOOG,1495975,149.5975
119,34200000562617,S,1000,AMD,1503404,150.3404
120,34200000571944,S,200,AMD,1502891,150.2891
121,34200000581262,S,300,MSFT,1498337,149.8337
122,34200000590284,S,200,AMZN,1497964,149.7964
123,34200000596556,B,500,MSFT,1495109,149.5109
124,34200000604286,S,500,TSLA,1505836,150.5836
125,34200000607778,S,500,AAPL,1493703,149.3703
126,34200000615991,S,300,AMD,1504038,150.4038
127,34200000616491,S,100,GOOG,1495244,149.5244
128,34200000626233,B,100,AMZN,1496496,149.6496
129,34200000631079,S,100,NVDA,1494962,149.4962
130,34200000633725,S,500,AMZN,1496798,149.6798
131,34200000640866,B,100,AMD,1503774,150.3774
132,34200000644816,B,500,NVDA,1494352,149.4352
133,34200000648160,B,1000,MSFT,1496540,149.654
134,34200000649313,B,1000,TSLA,1506776,150.6776
135,34200000655214,B,300,AMD,1505416,150.5416
136,34200000655510,S,200,NVDA,1494744,149.4744
137,34200000655947,B,200,AMD,1506873,150.6873
138,34200000665085,B,100,NVDA,1493853,149.3853
139,34200000668325,S,200,AMZN,1497173,149.7173
140,34200000669871,S,200,GOOG,1493577,149.3577
141,34200000679708,B,100,META,1495171,149.5171
142,34200000688602,S,100,META,1495725,149.5725
143,34200000693298,B,100,AMZN,1496543,149.6543
144,34200000693600,S,300,NVDA,1494394,149.4394
145,34200000700686,B,500,AAPL,1492434,149.2434
146,34200000707060,S,100,GOOG,1495041,149.5041
147,34200000707183,B,500,TSLA,1505492,150.5492
148,34200000707558,B,100,AAPL,1490436,149.0436
149,34200000711089,S,500,MSFT,1496737,149.6737
150,34200000716672,S,500,NVDA,1495220,149.522
151,34200000717123,B,300,AAPL,1490454,149.0454
152,34200000721232,S,100,META,1494851,149.4851
153,34200000721502,B,100,GOOG,1496485,149.6485
154,34200000721993,S,200,TSLA,1506108,150.6108
155,34200000725363,B,100,TSLA,1502447,150.2447
156,34200000726785,S,100,MSFT,1494722,149.4722
157,34200000726911,B,100,MSFT,1496451,149.6451
158,34200000735713,S,100,MSFT,1498198,149.8198
159,34200000737423,B,200,AMD,1506789,150.6789
160,34200000745003,B,100,AMZN,1494875,149.4875
161,34200000748433,S,100,NVDA,1493942,149.3942
162,34200000758125,B,300,GOOG,1494286,149.4286
163,34200000762868,B,200,AMZN,1492822,149.2822
164,34200000765425,B,500,NVDA,1493526,149.3526
165,34200000765568,B,1000,META,1491971,149.1971
166,34200000771968,B,100,GOOG,1495668,149.5668
167,34200000778087,S,100,GOOG,1494390,149.439
168,34200000778433,B,200,META,1492984,149.2984
169,34200000786463,S,200,TSLA,1503748,150.3748
170,34200000786922,S,100,AAPL,1490220,149.022
171,34200000787401,B,500,AMZN,1493945,149.3945
172,34200000795833,B,200,AAPL,1488165,148.8165
173,34200000799382,B,100,META,1493594,149.3594
174,34200000807329,S,100,MSFT,1498479,149.8479
175,34200000810145,B,100,AMD,1505570,150.557
176,34200000816198,S,1000,AMZN,1494282,149.4282
177,34200000819446,B,200,AAPL,1489456,148.9456
178,34200000827501,B,100,AMZN,1497317,149.7317
179,34200000827980,B,300,MSFT,1498751,149.8751
180,34200000836013,B,100,AAPL,1490389,149.0389
181,34200000836429,B,300,NVDA,1493835,149.3835
182,34200000839163,S,100,AMD,1505554,150.5554
183,34200000842917,B,300,TSLA,1501650,150.165
184,34200000849641,S,200,GOOG,1494484,149.4484
185,34200000849842,S,100,META,1494602,149.4602
186,34200000858937,S,100,MSFT,1497106,149.7106
187,34200000865116,B,300,AMD,1504025,150.4025
188,34200000870616,B,1000,MSFT,1493578,149.3578
189,34200000876319,B,100,AAPL,1490739,149.0739
190,34200000877991,S,500,GOOG,1494955,149.4955
191,34200000880004,B,1000,AMD,1505673,150.5673
192,34200000883831,B,100,AMD,1505012,150.5012
193,34200000889465,B,100,AAPL,1489962,148.9962
194,34200000895947,B,100,NVDA,1494938,149.4938
195,34200000899264,B,100,GOOG,1493338,149.3338
196,34200000901652,B,100,META,1495177,149.5177
197,34200000909589,B,100,AMZN,1495212,149.5212
198,34200000916187,B,100,META,1494600,149.46
199,34200000926030,B,100,AMD,1507590,150.759
200,34200000929557,S,100,AAPL,1498295,149.8295
201,34200000929843,S,1000,MSFT,1495645,149.5645
202,34200000938198,S,200,TSLA,1505243,150.5243
203,34200000946416,S,200,TSLA,1503778,150.3778
204,34200000950687,S,500,AMD,1508515,150.8515
205,34200000960139,B,100,MSFT,1495087,149.5087
206,34200000969549,B,200,GOOG,1493188,149.3188
207,34200000977346,S,300,MSFT,1496807,149.6807
208,34200000979683,B,200,AAPL,1496121,149.6121
209,34200000979929,B,100,META,1494708,149.4708
210,34200000981015,S,1000,AMD,1509419,150.9419
211,34200000981262,B,500,GOOG,1493521,149.3521
212,34200000989751,B,200,TSLA,1503003,150.3003
213,34200000995523,S,200,GOOG,1497109,149.7109
214,34200000999591,B,200,NVDA,1497020,149.702
215,34200001008293,S,100,GOOG,1496509,149.6509
216,34200001015143,S,200,AAPL,1497113,149.7113
217,34200001015423,S,300,GOOG,1495245,149.5245
218,34200001024263,S,1000,META,1497620,149.762
219,34200001025980,S,100,MSFT,1497010,149.701
220,34200001035877,S,200,TSLA,1503200,150.32
221,34200001042315,B,100,AMD,1508466,150.8466
222,34200001050519,B,500,AMZN,1497413,149.7413
223,34200001058474,S,200,NVDA,1497709,149.7709
224,34200001060785,B,200,GOOG,1494760,149.476
225,34200001067544,S,100,META,1497339,149.7339
226,34200001069483,B,500,AMD,1507372,150.7372
227,34200001069894,S,100,GOOG,1494634,149.4634
228,34200001076895,B,200,AMD,1506418,150.6418
229,34200001079154,S,300,META,1496004,149.6004
230,34200001084243,S,300,MSFT,1498210,149.821
231,34200001089507,S,100,GOOG,1496181,149.6181
232,34200001098554,B,200,AMD,1505774,150.5774
233,34200001104790,B,100,TSLA,1503911,150.3911
234,34200001108370,S,200,META,1498143,149.8143
235,34200001117464,B,100,MSFT,1497594,149.7594
236,34200001120590,B,300,AAPL,1493796,149.3796
237,34200001122798,S,500,GOOG,1497461,149.7461
238,34200001132274,S,1000,MSFT,1498800,149.88
239,34200001135388,S,100,META,1500190,150.019
240,34200001141370,S,100,NVDA,1499240,149.924
241,34200001146475,B,200,MSFT,1499540,149.954
242,34200001146730,S,200,TSLA,1508602,150.8602
243,34200001153261,S,100,GOOG,1496051,149.6051
244,34200001153689,S,100,AAPL,1494881,149.4881
245,34200001163627,B,1000,AMZN,1496425,149.6425
246,34200001171280,S,1000,AMZN,1494948,149.4948
247,34200001177853,B,1000,AMZN,1491562,149.1562
248,34200001180995,B,300,MSFT,1500499,150.0499
249,34200001184303,B,200,META,1498283,149.8283
250,34200001187919,B,500,GOOG,1494985,149.4985
251,34200001196567,B,1000,META,1500374,150.0374
252,34200001196868,S,100,AMD,1506601,150.6601
253,34200001205578,B,200,AMD,1506726,150.6726
254,34200001205813,S,500,AMZN,1492246,149.2246
255,34200001211541,B,200,META,1499798,149.9798
256,34200001214487,B,200,GOOG,1493462,149.3462
257,34200001218748,S,300,MSFT,1503183,150.3183
258,34200001219018,B,100,NVDA,1498806,149.8806
259,34200001225236,S,300,AMD,1506276,150.6276
260,34200001234547,B,200,MSFT,1501480,150.148
261,34200001242371,S,300,AMD,1506250,150.625
262,34200001247099,S,1000,AMZN,1490929,149.0929
263,34200001247547,S,500,AAPL,1494990,149.499
264,34200001247807,B,200,TSLA,1507040,150.704
265,34200001249827,B,1000,NVDA,1499239,149.9239
266,34200001258664,S,300,MSFT,1505254,150.5254
267,34200001263995,S,300,NVDA,1500478,150.0478
268,34200001268679,B,200,AMD,1506106,150.6106
269,34200001274159,S,300,AMZN,1491938,149.1938
270,34200001281623,B,500,AMZN,1487928,148.7928
271,34200001289870,B,100,META,1502901,150.2901
272,34200001295312,S,200,AMZN,1488472,148.8472
273,34200001305012,S,100,AMZN,1489810,148.981
274,34200001313751,S,100,TSLA,1508923,150.8923
275,34200001322544,S,500,GOOG,1494222,149.4222
276,34200001324513,S,300,AMD,1506262,150.6262
277,34200001328393,S,100,GOOG,1493396,149.3396
278,34200001328876,S,1000,AAPL,1493802,149.3802
279,34200001338777,S,300,AMZN,1489756,148.9756
280,34200001341622,S,1000,AMD,1505918,150.5918
281,34200001347455,B,100,META,1503971,150.3971
282,34200001349876,B,500,TSLA,1509549,150.9549
283,34200001350172,B,200,NVDA,1498812,149.8812
284,34200001351359,B,300,TSLA,1508905,150.8905
285,34200001359001,B,1000,AMZN,1488054,148.8054
286,34200001363591,S,300,AMZN,1486873,148.6873
287,34200001372305,S,500,MSFT,1503312,150.3312
288,34200001381958,S,100,TSLA,1510633,151.0633
289,34200001385413,B,200,META,1505081,150.5081
290,34200001385618,B,1000,MSFT,1502724,150.2724
291,34200001394102,S,100,AMD,1507931,150.7931
292,34200001395151,S,100,AAPL,1494567,149.4567
293,34200001397281,B,100,TSLA,1509028,150.9028
294,34200001405168,B,100,AMD,1506215,150.6215
295,34200001405606,S,500,META,1508158,150.8158
296,34200001405981,S,100,MSFT,1504158,150.4158
297,34200001414566,B,100,NVDA,1496933,149.6933
298,34200001418107,S,200,NVDA,1496998,149.6998
299,34200001419363,S,500,AMZN,1487616,148.7616
300,34200001421160,B,100,TSLA,1511879,151.1879
301,34200001421408,B,100,TSLA,1511588,151.1588
302,34200001427661,S,300,TSLA,1511457,151.1457
303,34200001429659,S,500,TSLA,1510589,151.0589
304,34200001429935,S,1000,MSFT,1505050,150.505
305,34200001439748,B,200,NVDA,1496590,149.659
306,34200001443113,B,200,AMD,1505228,150.5228
307,34200001448290,S,100,AMD,1508192,150.8192
308,34200001450804,B,1000,TSLA,1508998,150.8998
309,34200001451293,S,100,TSLA,1510690,151.069
310,34200001452544,B,200,TSLA,1510458,151.0458
311,34200001456894,B,200,TSLA,1513826,151.3826
